Source Target Weight
阳光 张小敬 7
呼唤 张小敬 5
曹破延 胡人 7
曹破延 崔六郎 27
曹破延 望楼 6
曹破延 崔器 12
曹破延 醉汉 4
曹破延 李泌 8
曹破延 檀棋 5
曹破延 张小敬 54
曹破延 唐人 6
曹破延 王忠嗣 7
曹破延 麻格儿 24
曹破延 龙波 23
曹破延 万全 7
曹破延 闻染 22
曹破延 昌明 9
曹破延 那串 4
曹破延 徐宾 6
胡人 曹破延 7
胡人 唐人 5
胡人 张小敬 10
胡人 伊斯 5
胡人 吉温 6
胡人 李泌 8
崔六郎 曹破延 27
崔六郎 曹公 6
崔六郎 崔器 5
崔六郎 李泌 4
武侯 望楼 23
武侯 诸坊 8
武侯 闻染 7
武侯 张小敬 20
武侯 姚汝能 5
武侯 封锁 5
武侯 怀远 4
武侯 檀棋 12
武侯 伊斯 4
望楼 武侯 23
望楼 曹破延 6
望楼 黑旗 4
望楼 光德坊 8
望楼 崔器 12
望楼 张小敬 77
望楼 李泌 26
望楼 檀棋 23
望楼 姚汝能 56
望楼 贺知章 4
望楼 张都尉 7
望楼 诸坊 5
望楼 封锁 5
望楼 李司丞 5
望楼 唐韵 5
望楼 徐宾 9
望楼 通信兵 8
望楼 岑参 4
望楼 吉温 10
望楼 元载 10
望楼 明白 5
黑旗 望楼 4
光德坊 望楼 8
光德坊 张小敬 18
光德坊 徐宾 5
光德坊 李泌 8
光德坊 延寿 4
光德坊 姚汝能 5
光德坊 檀棋 9
光德坊 伊斯 5
贺监 檀棋 6
贺监 贺知章 6
贺监 李泌 37
贺监 徐宾 4
贺监 张小敬 12
贺监 姚汝能 4
贺监 李亨 9
贺监 贺东 9
崔器 曹破延 12
崔器 崔六郎 5
崔器 阿兄 9
崔器 望楼 12
崔器 李泌 27
崔器 张小敬 99
崔器 望山 4
崔器 闻言 4
崔器 姚汝能 45
崔器 王忠嗣 4
崔器 张都尉 10
崔器 明白 5
崔器 宣徽院 4
崔器 徐宾 14
崔器 甘守诚 17
崔器 李相 5
崔器 崔尉 5
崔器 闻染 4
柳树 李泌 6
柳树 萧规 4
柳树 张小敬 4
封锁 张小敬 5
封锁 武侯 5
封锁 望楼 5
马匹 张小敬 21
马匹 李泌 5
马匹 马背上 4
马匹 檀棋 4
曹公 崔六郎 6
诸坊 武侯 8
诸坊 望楼 5
诸坊 张小敬 7
高喊 张小敬 5
安静 张小敬 11
阿兄 崔器 9
朱雀 张小敬 10
朱雀 大明宫 4
龙首渠 张小敬 7
龙首渠 毛顺 4
司丞 徐宾 5
司丞 李泌 25
司丞 张小敬 7
司丞 龙波 4
司丞 吉温 7
司丞 元载 5
圣人 张小敬 5
圣人 元载 4
李泌 崔器 27
李泌 崔六郎 4
李泌 徐宾 91
李泌 姚汝能 78
李泌 张小敬 298
李泌 司丞 25
李泌 李司丞 27
李泌 方如 6
李泌 光德坊 8
李泌 马匹 5
李泌 闻言 4
李泌 曹破延 8
李泌 明白 32
李泌 安危 10
李泌 望楼 26
李泌 张都尉 12
李泌 檀棋 84
李泌 贺知章 105
李泌 怀远 7
李泌 老夫 5
李泌 都尉 4
李泌 贺监 37
李泌 冷笑 12
李泌 焦遂 8
李泌 龙波 26
李泌 李亨 81
李泌 宁可 5
李泌 阙勒霍 13
李泌 言语 5
李泌 王忠嗣 6
李泌 封大伦 4
李泌 冷冷道 4
李泌 王韫秀 20
李泌 李林甫 34
李泌 昌明 13
李泌 李相 33
李泌 柳树 6
李泌 贺东 15
李泌 甘守诚 14
李泌 景僧 4
李泌 司里 4
李泌 闻染 14
李泌 吉温 35
李泌 伊斯 7
李泌 萧规 35
李泌 觉察到 4
李泌 龙武军 10
李泌 太上玄 5
李泌 陈玄礼 13
李泌 陈将军 4
李泌 马背上 4
李泌 元载 16
李泌 马车夫 7
李泌 小文吏 4
李泌 胡人 8
李泌 平卢 4
李泌 安禄山 5
李泌 平卢留 4
李泌 刘骆谷 13
李泌 太上皇 4
李泌 永王 4
李泌 白衣宰相 4
李泌 代宗 4
李泌 帝王 4
李泌 归隐 4
徐宾 李泌 91
徐宾 张小敬 63
徐宾 司丞 5
徐宾 李司丞 14
徐宾 光德坊 5
徐宾 明白 6
徐宾 贺监 4
徐宾 檀棋 13
徐宾 昌明 9
徐宾 望楼 9
徐宾 张都尉 6
徐宾 崔器 14
徐宾 姚汝能 33
徐宾 冷笑 4
徐宾 王韫秀 7
徐宾 闻染 9
徐宾 曹破延 6
徐宾 李相 8
徐宾 觉察到 4
徐宾 凤阁 5
徐宾 司里 4
徐宾 元载 14
徐宾 伊斯 16
徐宾 福缘 4
张小敬 李司丞 52
张小敬 李泌 298
张小敬 姚汝能 232
张小敬 徐宾 63
张小敬 言语 9
张小敬 余光 4
张小敬 阳光 7
张小敬 朱雀 10
张小敬 马匹 21
张小敬 扬鞭 6
张小敬 马背上 5
张小敬 光德坊 18
张小敬 徐徐 5
张小敬 明白 56
张小敬 司丞 7
张小敬 安危 17
张小敬 冷笑 12
张小敬 望楼 77
张小敬 张都尉 24
张小敬 崔器 99
张小敬 檀棋 243
张小敬 阙勒霍 25
张小敬 曹破延 54
张小敬 玉真坊 6
张小敬 佩刀 6
张小敬 冷冷道 15
张小敬 都尉 37
张小敬 太久 5
张小敬 胡人 10
张小敬 解甲 4
张小敬 安静 11
张小敬 怀远 10
张小敬 马背 6
张小敬 高喊 5
张小敬 武侯 20
张小敬 贺知章 48
张小敬 封锁 5
张小敬 贺监 12
张小敬 小乙 13
张小敬 安抚 7
张小敬 云云 4
张小敬 葛老 71
张小敬 龙波 17
张小敬 瞳儿 12
张小敬 张帅 7
张小敬 殷勤 4
张小敬 张头 4
张小敬 王忠嗣 12
张小敬 闻染 73
张小敬 麻格儿 44
张小敬 呼唤 5
张小敬 王韫秀 31
张小敬 弓起 4
张小敬 熊火帮 15
张小敬 宣徽院 6
张小敬 矫健 4
张小敬 封大伦 78
张小敬 永王 92
张小敬 昌明 21
张小敬 诸坊 7
张小敬 恩公 14
张小敬 高明 10
张小敬 唐突 5
张小敬 李林甫 10
张小敬 虞部 4
张小敬 闻无忌 47
张小敬 元载 147
张小敬 李相 18
张小敬 甘守诚 11
张小敬 阎罗 16
张小敬 塞进 4
张小敬 张嘴 5
张小敬 景僧 6
张小敬 景寺 8
张小敬 伊斯 141
张小敬 闻记香 5
张小敬 岑参 29
张小敬 吉温 26
张小敬 小老 4
张小敬 阴恻恻 4
张小敬 苏合香 4
张小敬 任凭 6
张小敬 荆棘 7
张小敬 老赵 14
张小敬 鱼肠 90
张小敬 李亨 11
张小敬 毛顺 89
张小敬 太上玄 14
张小敬 太真 36
张小敬 圣人 5
张小敬 宛若 4
张小敬 龙武军 26
张小敬 龙首渠 7
张小敬 龙鳞 4
张小敬 弓弦 4
张小敬 萧规 281
张小敬 张大头 4
张小敬 玄观 18
张小敬 宾客 6
张小敬 陈玄礼 52
张小敬 伍长 4
张小敬 张开嘴 4
张小敬 陈将军 4
张小敬 伏有 5
张小敬 柳树 4
李司丞 张小敬 52
李司丞 徐宾 14
李司丞 李泌 27
李司丞 姚汝能 20
李司丞 张都尉 6
李司丞 檀棋 4
李司丞 望楼 5
李司丞 闻染 5
李司丞 龙波 7
李司丞 萧规 10
姚汝能 李泌 78
姚汝能 张小敬 232
姚汝能 张都尉 35
姚汝能 玉真坊 7
姚汝能 李司丞 20
姚汝能 佩刀 6
姚汝能 望楼 56
姚汝能 檀棋 46
姚汝能 武侯 5
姚汝能 贺监 4
姚汝能 龙波 4
姚汝能 崔器 45
姚汝能 葛老 14
姚汝能 明白 7
姚汝能 唐韵 4
姚汝能 光德坊 5
姚汝能 徐宾 33
姚汝能 冷汗 4
姚汝能 甘守诚 6
姚汝能 王韫秀 8
姚汝能 闻染 57
姚汝能 崔尉 4
姚汝能 岑参 13
姚汝能 吉温 13
姚汝能 元载 17
姚汝能 伊斯 4
言语 张小敬 9
言语 李泌 5
余光 张小敬 4
扬鞭 张小敬 6
马背上 张小敬 5
马背上 马匹 4
马背上 李泌 4
方如 李泌 6
醉汉 曹破延 4
王忠嗣 曹破延 7
王忠嗣 麻格儿 9
王忠嗣 张小敬 12
王忠嗣 闻染 4
王忠嗣 阙勒霍 4
王忠嗣 崔器 4
王忠嗣 李泌 6
王忠嗣 王韫秀 10
王忠嗣 吉温 4
王忠嗣 元载 7
徐徐 张小敬 5
闻言 李泌 4
闻言 崔器 4
闻言 贺知章 4
明白 张小敬 56
明白 李泌 32
明白 徐宾 6
