Id Label Weight
孤城 孤城 2
阳光 阳光 12
高悬 高悬 5
小鞭 小鞭 1
呼唤 呼唤 9
达官贵人 达官贵人 8
曹破延 曹破延 259
粟特人 粟特人 2
胡商 胡商 8
黑胡 黑胡 1
胡人 胡人 46
崔六郎 崔六郎 41
寻人 寻人 2
胡麻 胡麻 3
粟特语 粟特语 3
鱼贯 鱼贯 3
辚辚 辚辚 1
武侯 武侯 86
望楼 望楼 222
高亭 高亭 4
黑旗 黑旗 3
光德坊 光德坊 44
孙思邈 孙思邈 3
木简 木简 6
轩敞 轩敞 3
颜真卿 颜真卿 1
宫城 宫城 13
那洪亮 那洪亮 1
陶俑 陶俑 6
贺监 贺监 66
崔器 崔器 260
诸巷 诸巷 1
朱俑 朱俑 1
粟特胡 粟特胡 1
广通渠 广通渠 12
柳树 柳树 15
左巷 左巷 1
越行越 越行越 1
徐主 徐主 2
梁木 梁木 1
士卒 士卒 3
封锁 封锁 25
马匹 马匹 32
木柱 木柱 3
白尖 白尖 1
曹公 曹公 4
布帛 布帛 2
科考 科考 1
诸坊 诸坊 23
黄布 黄布 1
高喊 高喊 12
马鸣 马鸣 1
安静 安静 28
张开 张开 5
诸卫 诸卫 1
卓越 卓越 1
阿兄 阿兄 13
盖子 盖子 4
木盖 木盖 2
拓宽 拓宽 2
秦岭 秦岭 2
朱雀 朱雀 36
明渠 明渠 2
龙首渠 龙首渠 13
和宫渠 和宫渠 1
明光 明光 1
铁青 铁青 10
上洇成 上洇成 1
司丞 司丞 37
严重性 严重性 3
诸渠 诸渠 1
和里守 和里守 1
越矩 越矩 1
圣人 圣人 21
党羽 党羽 2
汉胡 汉胡 4
诸教 诸教 2
钱粮 钱粮 4
武勇 武勇 1
于长安 于长安 4
白眉 白眉 3
老家伙 老家伙 1
李泌 李泌 978
徐宾 徐宾 265
张小敬 张小敬 2580
李司丞 李司丞 101
王公贵族 王公贵族 3
花锦帕 花锦帕 1
姚汝能 姚汝能 563
徐友德 徐友德 1
言语 言语 12
敬畏 敬畏 1
余光 余光 4
克扣 克扣 1
胥吏 胥吏 1
龙飞凤舞 龙飞凤舞 1
凌厉 凌厉 5
金刚 金刚 3
灵敏 灵敏 2
郭以 郭以 1
扬鞭 扬鞭 6
马背上 马背上 11
